path,true_label,pred_label,score,subject_preview
dataset/easy_ham/2170.78c282a5e417d6d231dc75aa8588ebb7,ham,Safe,9.00,From rssfeeds@jmason.org  Mon Sep 30 13:43:46 2002
dataset/easy_ham/0461.7609029b07acf65f40bd93882aa35887,ham,Safe,8.00,From fork-admin@xent.com  Tue Sep  3 14:24:41 2002
dataset/easy_ham/1077.5967a2892063a3470f32596403b095aa,ham,Safe,8.00,From exmh-users-admin@redhat.com  Wed Sep 11 13:42:15 2002
dataset/easy_ham/1000.348e8a82897b05d584de019f4dd5c7e2,ham,Safe,8.00,From fork-admin@xent.com  Mon Sep  2 16:22:12 2002
dataset/easy_ham/2125.ee1e93366c2199584cfbd4cbb353d918,ham,Safe,9.00,From rssfeeds@jmason.org  Fri Sep 27 10:40:59 2002
dataset/easy_ham/0401.9ab0bcc81e70d6930acfefc2854a0172,ham,Safe,8.00,From fork-admin@xent.com  Wed Aug 28 17:15:53 2002
dataset/easy_ham/0502.9e78d7d003ceeef52c70ac7e7b786ef9,ham,Safe,8.00,From fork-admin@xent.com  Fri Sep  6 11:41:26 2002
dataset/easy_ham/1561.b968a0929d29009dbb76603323c1862f,ham,Safe,8.00,From spamassassin-talk-admin@lists.sourceforge.net  Thu Sep 12 21:09:59 2002
dataset/easy_ham/0634.2da7e83d50baee90c3c9defd2aa30b72,ham,Safe,8.00,From fork-admin@xent.com  Fri Sep 13 13:37:25 2002
dataset/easy_ham/1005.aaca009bb6cf75da8456c570bad6ad08,ham,Safe,8.00,From spamassassin-talk-admin@lists.sourceforge.net  Thu Aug 22 17:19:48 2002
dataset/easy_ham/2434.477cbb634d8dd2ee4e697f479fa77b24,ham,Safe,9.00,From rssfeeds@jmason.org  Mon Oct  7 12:05:20 2002
dataset/easy_ham/0775.380d5908cc272338fc163b1d1a748e8c,ham,Safe,8.00,From fork-admin@xent.com  Mon Sep 23 15:00:49 2002
dataset/easy_ham/1453.1089ed990307329cb4527b6835b2259c,ham,Safe,8.00,From spamassassin-talk-admin@lists.sourceforge.net  Thu Aug 29 11:06:13 2002
dataset/easy_ham/0039.5bf1ec6602c4657bac8d566604572ad5,ham,Safe,8.00,From exmh-workers-admin@redhat.com  Fri Aug 23 11:07:03 2002
dataset/easy_ham/0106.808c5e5ed0b801f667a34ead8221972e,ham,Safe,8.00,From fork-admin@xent.com  Mon Aug 26 15:31:13 2002
